authors,title,year,source_title,doi,abstract,cited_by
"Luo Y., Fang Q., Lai Y., Lei H., Zhang D., Niu H., Wang R., Song C.",Polysaccharides from the leaves of Polygonatum sibiricum Red. regulate the gut microbiota and affect the production of short-chain fatty acids in mice,2022,AMB Express,10.1186/s13568-022-01376-z,"Polysaccharides from the rhizome of Polygonatum sibiricum display a variety of biological activities, including the regulation of intestinal microbiota, but the polysaccharides from the leaves of P. sibiricum have not been studied extensively. Here, we extracted crude polysaccharides from the leaves of P. sibiricum and further separated and purified them to study the effects of P. sibiricum polysaccharides (PsPs) on intestinal microbes and short-chain fatty acids (SCFAs). The PsPs had a total sugar content of 97.48% and a monosaccharide composition comprising mannose, rhamnose, galacturonic acid, glucose, xylose, and arabinose, with molar ratios of 6.6:15.4:4.5:8.8:40.7:24, respectively. The effects of PsPs on intestinal microflora in mice were also studied, with 16S sequencing results showing an increase in the relative abundance of Firmicutes and a decrease in Bacteroidetes at the phylum level. The abundance of Lactobacillus increased, while those of Lachnospiraceae and Bacteroides reduced (at the genus level) by PsPs treatment. The composition of microbes changed. Levels of SCFAs in the PsPs group were significantly increased compared with control mice, including acetic acid, propionic acid, and butyric acid. These results suggest that PsPs can act as prebiotics, regulating the intestinal tract probiotics. © 2022, The Author(s).",
"Loman B.R., Russart K.L.G., Grant C.V., Lynch A.J., Bailey M.T., Pyter L.M.",Mammary tumors alter the fecal bacteriome and permit enteric bacterial translocation,2022,BMC Cancer,10.1186/s12885-022-09274-0,"Background: Cancer patients experience gastrointestinal and behavioral symptoms, and are at increased risk of systemic infection and inflammation. These conditions are a major source of morbidity and decreased quality of life prior to cancer treatment, but poorly defined etiologies impede successful treatment. The gastrointestinal microbiota shape inflammation, influence cancer progression and treatment, and colonize tumors. However, research has not directly determined if peripheral tumors influence the microbiome and intestinal physiology, thus influencing gastrointestinal and behavioral symptoms. Therefore, the purpose of this study was to examine consequences of orthotopic, syngeneic mammary tumor implantation, growth, and resection on fecal bacteriome composition and intestinal barrier function in relation to systemic inflammation and enteric bacterial translocation in mice. Methods: Female mice were randomized to 3 experimental groups: sham surgical control, tumor recipients, and tumor recipients later receiving tumor-resection. Mice were sacrificed three weeks after tumor implantation or resection for collection of stool, colon, spleen, and brain tissue and analysis. Results: Tumor-bearing mice exhibited several markers of colonic barrier disruption, including dampened expression of tight junction proteins (Cldn1 and Ocln) and elevated circulating lipopolysaccharide binding protein (LBP). Compromised colonic barrier integrity was associated with altered fecal bacterial profiles in tumor-mice, including lower relative abundance of Lactobacillus, but higher Bacteroides. Consistent with colonic barrier disruption and altered microbiomes, tumor-mice displayed markers of systemic inflammation including splenomegaly, higher splenic bacterial load, and elevated splenic and brain pro-inflammatory cytokines. Several bacteria cultured from spleens had 16S rRNA gene amplicons matching those in fecal samples, suggesting they were of intestinal origin. Fecal Lactobacillus was highly-interrelated to physiological parameters disrupted by tumors via correlation network analysis. Tumor resection ameliorated circulating LBP, splenomegaly, and splenic cytokines, but not other parameters associated with loss of colonic barrier integrity and bacterial translocation. Conclusions: Orthotopic mammary tumors alter the microbiome, reduce intestinal barrier function, increase translocation of enteric bacteria, and alter systemic inflammation. This provides insight into how tumors commence gastrointestinal and behavioral symptoms prior to treatment, and identify targets for future therapeutics, such as probiotic Lactobacillus supplementation. © 2022, The Author(s).",
"Ayimbila F., Siriwong S., Nakphaichit M., Keawsompong S.",In vitro gastrointestinal digestion of Lentinus squarrosulus powder and impact on human fecal microbiota,2022,Scientific Reports,10.1038/s41598-022-06648-z,"Humans have long-used mushrooms as food and medicine, but digestion and colonic fermentation of most mushrooms, including Lentinus squarrosulus is markedly unknown. Here, nutritional profile, digestion and colonic fermentation of L. squarrosulus powder (LP) were determined. The powder contained mainly carbohydrate and protein. SEM and F-TIR analysis of the resistant hydrolysate (RH) revealed that the structure and ratio of carbohydrate and protein components were altered, and released known immunomodulation agents; beta-glucans and mannose. Both LP and RH promoted selected probiotic bacteria, especially Bifidobacterium strains. Using fecal microbiota of five volunteers (V1, V2, V3, V4 and V5), RH stimulated the microbiota of all used volunteers, via decreasing the ratio of Firmicutes/Bacteroidetes ranging from 1.3 to 8.2 times. Also, RH increased the relative abundance of vital immunomodulators; Bacteroides, Bifidobacterium, Clostridium cluster XIVa and IV, and Sutterella. Additionally, RH fermentation enriched the content of branch-chain fatty acids (BCFA) and short-chain fatty acids (SCFA), indicating protein and carbohydrate usage. Notably, propionic and butyric acids were abundant in V1, V2 and V3, while in V4 and V5, acetic and butyric acids were most enriched. Suggesting L. squarrosulus as functional mushroom to improve health and prevent diseases by enhancing gut health. © 2022, The Author(s).",
"Chanderraj R., Brown C.A., Hinkle K., Falkowski N., Woods R.J., Dickson R.P.","The bacterial density of clinical rectal swabs is highly variable, correlates with sequencing contamination, and predicts patient risk of extraintestinal infection",2022,Microbiome,10.1186/s40168-021-01190-y,"Background: In ecology, population density is a key feature of community analysis. Yet in studies of the gut microbiome, bacterial density is rarely reported. Studies of hospitalized patients commonly use rectal swabs for microbiome analysis, yet variation in their bacterial density—and the clinical and methodologic significance of this variation—remains undetermined. We used an ultra-sensitive quantification approach—droplet digital PCR (ddPCR)—to quantify bacterial density in rectal swabs from 118 hospitalized patients. We compared bacterial density with bacterial community composition (via 16S rRNA amplicon sequencing) and clinical data to determine if variation in bacterial density has methodological, clinical, and prognostic significance. Results: Bacterial density in rectal swab specimens was highly variable, spanning five orders of magnitude (1.2 × 104–3.2 × 109 16S rRNA gene copies/sample). Low bacterial density was strongly correlated with the detection of sequencing contamination (Spearman ρ = − 0.95, p &lt; 10−16). Low-density rectal swab communities were dominated by peri-rectal skin bacteria and sequencing contaminants (p &lt; 0.01), suggesting that some variation in bacterial density is explained by sampling variation. Yet bacterial density was also associated with important clinical exposures, conditions, and outcomes. Bacterial density was lower among patients who had received piperacillin-tazobactam (p = 0.017) and increased among patients with multiple medical comorbidities (Charlson score, p = 0.0040) and advanced age (p = 0.043). Bacterial density at the time of hospital admission was independently associated with subsequent extraintestinal infection (p = 0.0028), even when controlled for severity of illness and comorbidities. Conclusions: The bacterial density of rectal swabs is highly variable, and this variability is of methodological, clinical, and prognostic significance. Microbiome studies using rectal swabs are vulnerable to sequencing contamination and should include appropriate negative sequencing controls. Among hospitalized patients, gut bacterial density is associated with clinical exposures (antibiotics, comorbidities) and independently predicts infection risk. Bacterial density is an important and under-studied feature of gut microbiome community analysis. [MediaObject not available: see fulltext.] © 2022, The Author(s).",1.0
"Yan Q., Liang Y., Jin Y., Yang J.",Internet of things-based design of maternal and infant monitoring system and adoption of gold nanoparticles bacterial DNA detection technology in probiotic treatment of pregnancy reaction,2022,Sustainable Computing: Informatics and Systems,10.1016/j.suscom.2022.100718,"it aimed to establish a maternal and child monitoring system based on medical Internet of Things (IoT) technology and explore the application of gold magnetic nanoparticles (Au-MNPs) in bacterial detection. The effect of active Bifidobacterium tablet (Siliankang) on intestinal flora of pregnant women and reaction to early pregnancy was analyzed. A real-time fetal heart rate monitoring method was established based on median filtering algorithm, and a maternal and infant monitoring system was established by organically combining portable monitoring equipment and hospital monitoring center through the IoT. Fe3O4 nanoparticles and Au-NPs were prepared by co-precipitation method and Turkevitch-Frens method. Fe3O4-Au-SiO2 NPs was obtained by polymerizing Au-NPs into Fe3O4 nanoparticles and coating the surface with SiO2. The characterization of NPs and its bacterial adsorption efficiency were analyzed, and a capture sensor for the detection of bacterial Deoxyribonucleic acid (DNA) was prepared. A total of 120 patients with pregnancy reaction were selected as the research object, and were divided into the placebo group and the experimental group (compound probiotics supplement group) according to different treatment methods, with 60 patients in each group. The bacterial DNA detection sensor was used to detect the difference of bacterial flora in feces of patients in different groups. The results showed that the particle size of Fe3O4-Au-SiO2 NPs was 15–47 nm, and the adsorption efficiency of Fe3O4-Au-SiO2 NPs to S. aureus, S. epidermidi, E. coli, and P. aeruginosa was higher than 80%. The Fe3O4-Au-SiO2 NPs of the prepared bacterial DNA detection sensor could be hybridized with the target bacterial DNA sequence. the intestinal enterobacteria, enterococci, and Bacteroides of patients in test group were remarkably reduced in contrast to control group, while the Bifidobacterium, Lactobacillus, and Fusobacterium flora were greatly increased (P &lt; 0.05). the number of NVP patients in the control group and test group was 19 case (31.7%) and 5 case (8.3%). The probability of early pregnancy reaction was notably reduced (P &lt; 0.05). It showed that the maternal and infant monitoring system based on Internet of things technology had potential application value for maternal and infant health. Tetralogy of viable Bifidobacterium tablets (Siliankang) can reduce the pathogenic bacteria in the intestines of pregnant women, and then reduced the incidence of early pregnancy reactions. © 2022",
"Yan J., Xue Q., Chen W., Wang K., Peng D., Jiang J., Li P., Du B.",Probiotic-fermented rice buckwheat alleviates high-fat diet-induced hyperlipidemia in mice by suppressing lipid accumulation and modulating gut microbiota,2022,Food Research International,10.1016/j.foodres.2022.111125,"Hyperlipidemia is associated with lipid metabolic disorders, chronic inflammation, and intestinal dysbiosis. Previous studies have shown that the metabolic improvement of high-fat diet (HFD)-induced mice by buckwheat is correlated with gut microbiota; however, the anti-hyperlipidemia effects and potential mechanism of probiotics-fermented rice buckwheat (FRB) are not well understood. Here, we aimed to investigate the lipid-lowering and gut microbiota regulation of FRB in HFD-induced hyperlipidemic mice. We observed that probiotic fermentation markedly increased the contents of γ-aminobutyric acid, rutin, total polyphenols, and total flavonoids in rice buckwheat. FRB supplementation over eight weeks significantly reduced body weight gain and visceral obesity, as well as alleviating dyslipidemia in HFD-fed mice. Moreover, FRB treatment effectively ameliorated oxidative stress and chronic inflammation. We further demonstrated that FRB intervention significantly inhibited hepatic cholesterol synthesis and lipogenesis, and promoted lipolysis. More important, FRB treatment reversed HFD-induced gut dysbiosis by decreasing the ratio of Firmicutes to Bacteroidetes and increasing the abundance of SCFA-producing bacteria such as Bacteroides, Lactobacillus, and Blautia, along with increasing the total SCFAs contents. Overall, these results show that FRB is a beneficial nutraceutical for hyperlipidemia amelioration. © 2022",
"Feng C., Tian L., Hong H., Wang Q., Zhan X., Luo Y., Tan Y.",In Vitro Gut Fermentation of Whey Protein Hydrolysate: An Evaluation of Its Potential Modulation on Infant Gut Microbiome,2022,Nutrients,10.3390/nu14071374,"Whey protein and its hydrolysate are ubiquitously consumed as nutritional supplements. This study aimed to evaluate the potential effect of whey protein hydrolysate (WPH) on the infant gut microbiome, which is more variable than that of adults. Colonic fermentation was simulated through a static digestion model and fecal culture fermentation, using feces from normal infants aged from 1–3 years old. During in vitro gut fermentation, measurements of short-chain fatty acids (SCFA) concentrations and 16S rRNA amplicon sequencing were performed. Additionally, the growth curves of cultivated probiotics were analyzed to evaluate the prebiotic potential of WPH. Besides the decline of pH in fermentation, the addition of WPH induced a significant increase in the SCFA production and also the relative abundance of Proteobacteria, Bacteroides, and Streptococcus (p < 0.05). The lower ratio of Firmicutes/Bacteroidetes in WPH-supplemented samples indicated the positive modulation of WPH on the gut microbiota, which could benefit the energy balance and metabolism of infants. The stimulation effect of WPH on the probiotics (particularly Lactobacillus acidophilus NCFM) during cultivation implied the prebiotic potential as well. Our findings shed light on WPH as a valuable dietary supplement with not only enriched resources of essential amino acids but also the potential to restore the infant gut microbiome. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",
"Barros de Medeiros V.P., Salgaço M.K., Pimentel T.C., Rodrigues da Silva T.C., Sartoratto A., Lima M.D.S., Sassi C.F.D.C., Mesa V., Magnani M., Sivieri K.",Spirulina platensis biomass enhances the proliferation rate of Lactobacillus acidophilus 5 (La-5) and combined with La-5 impact the gut microbiota of medium-age healthy individuals through an in vitro gut microbiome model,2022,Food Research International,10.1016/j.foodres.2021.110880,"This study first evaluated the stimulatory effect of S. platensis biomass on the growth of L. acidophilus and the metabolic activity during fermentation (37 °C, 72 h) in a culture medium. The results demonstrated a higher impact of S. platensis biomass than fructooligosaccharide (FOS), an established prebiotic. Higher L. acidophilus proliferation rates and metabolic activity were observed (lower pH values and higher concentrations of acetic, lactic, and propionic acids) in the presence of S. platensis. Then, we evaluated the effects of the S. platensis biomass (1.5 g, twice a day, 5 days) in association with L. acidophilus (106 CFU/g) on the gut microbiota composition of medium-age healthy individuals through the Simulator of Human Intestinal Microbial Ecosystem (SHIME®) and measurement of metabolites. L. acidophilus (La5) and L. acidophilus + S. platensis (Spi-La5) could positively modulate the intestinal microbiota. The administration of La5 resulted in increases in Bacteroides, Megasphaera, Lactobacillus, and Parabacteroides genus abundance, with a consequent decrease in ammonium ions. The administration of Spi-La5 increased the abundance of the genus Erysipelatoclostridium, Roseburia, Enterococcus, Bifidobacterium, Coriobacteriaceae UCG-003, Enterobacter, and Paraclostridium. The results demonstrate that the intestinal microbiota was differently modified by administrating La5 and Spi-La5 and indicate the latter as an alternative for microbiota positive modulation in healthy individuals. © 2021",1.0
"Huang J., Liu D., Wang Y., Liu L., Li J., Yuan J., Jiang Z., Jiang Z., Hsiao W.L.W., Liu H., Khan I., Xie Y., Wu J., Xie Y., Zhang Y., Fu Y., Liao J., Wang W., Lai H., Shi A., Cai J., Luo L., Li R., Yao X., Fan X., Wu Q., Liu Z., Yan P., Lu J., Yang M., Wang L., Cao Y., Wei H., Leung E.L.-H.","Ginseng polysaccharides alter the gut microbiota and kynurenine/tryptophan ratio, potentiating the antitumour effect of antiprogrammed cell death 1/programmed cell death ligand 1 (anti-PD-1/PD-L1) immunotherapy",2022,Gut,10.1136/gutjnl-2020-321031,"Objective Programmed death 1 and its ligand 1 (PD-1/PD-L1) immunotherapy is promising for late-stage lung cancer treatment, however, the response rate needs to be improved. Gut microbiota plays a crucial role in immunotherapy sensitisation and Panax ginseng has been shown to possess immunomodulatory potential. In this study, we aimed to investigate whether the combination treatment of ginseng polysaccharides (GPs) and αPD-1 monoclonal antibody (mAb) could sensitise the response by modulating gut microbiota. Design Syngeneic mouse models were administered GPs and αPD-1 mAb, the sensitising antitumour effects of the combination therapy on gut microbiota were assessed by faecal microbiota transplantation (FMT) and 16S PacBio single-molecule real-Time (SMRT) sequencing. To assess the immune-related metabolites, metabolomics analysis of the plasma samples was performed. Results We found GPs increased the antitumour response to αPD-1 mAb by increasing the microbial metabolites valeric acid and decreasing L-kynurenine, as well as the ratio of Kyn/Trp, which contributed to the suppression of regulatory T cells and induction of T eff cells after combination treatment. Besides, the microbial analysis indicated that the abundance of Parabacteroides distasonis and Bacteroides vulgatus was higher in responders to anti-PD-1 blockade than non-responders in the clinic. Furthermore, the combination therapy sensitised the response to PD-1 inhibitor in the mice receiving microbes by FMT from six non-responders by reshaping the gut microbiota from non-responders towards that of responders. Conclusion Our results demonstrate that GPs combined with αPD-1 mAb may be a new strategy to sensitise non-small cell lung cancer patients to anti-PD-1 immunotherapy. The gut microbiota can be used as a novel biomarker to predict the response to anti-PD-1 immunotherapy. © 2022 BMJ Publishing Group. All rights reserved.",16.0
"Xie H., Fang J., Farag M.A., Li Z., Sun P., Shao P.",Dendrobium officinale leaf polysaccharides regulation of immune response and gut microbiota composition in cyclophosphamide-treated mice,2022,Food Chemistry: X,10.1016/j.fochx.2022.100235,"In this study, the polysaccharides extracted from Dendrobium officinale leaf (DOLP) was used in immune deficiency mice to evaluate the bioactivity. Thymus and spleen indices were calculated while the alleviation of the colon and liver histopathological progression was evaluated by H&E staining. The data indicated that DOLP improved immunity status by restoring the gut barrier and atrophy of immune organs. Cytokines levels as marker of inflammation were determined using ELISA in serum and colon. Which proved that DOLP inhibited the expression of pro-inflammatory cytokines (TNF-α, TGF- β1, IL-6, IL-1β) and promoted the expression of anti-inflammatory cytokines (IL-10). Short chain fatty acids (SCFAs) levels and microbial composition in feces were determined using GS and high-throughput sequencing. DOLP improved gut microbiota by increasing the relative abundance of total bacteria and probiotics such as Bacteroides, Lactobacillus and Lachnospiraceae. Therefore, DOLP has potential effect for the treatment of chronic immune diseases. © 2022 The Author(s)",1.0
